epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,398.97332763671875,,,,,
0,99,,304.70843505859375,,,,,
0,149,,310.44915771484375,,,,,
0,199,,356.5352783203125,,,,,
0,249,,276.4488830566406,,,,,
0,299,,259.12481689453125,,,,,
0,349,,305.73162841796875,,,,,
0,399,,253.45437622070312,,,,,
0,449,,281.21002197265625,,,,,
0,499,,274.7969970703125,,,,,
0,549,,244.94061279296875,,,,,
0,599,,209.7242431640625,,,,,
0,649,,200.87948608398438,,,,,
0,653,,,820.458984375,0.02894054539501667,820.458984375,0.02936547063291073,504.2245178222656
0,653,323.9206237792969,,,,,,
1,699,,261.28466796875,,,,,
1,749,,248.2156524658203,,,,,
1,799,,210.2930145263672,,,,,
1,849,,191.8707275390625,,,,,
1,899,,239.3922119140625,,,,,
1,949,,242.8470458984375,,,,,
1,999,,210.9110870361328,,,,,
1,1049,,226.81765747070312,,,,,
1,1099,,273.666259765625,,,,,
1,1149,,176.44650268554688,,,,,
1,1199,,200.11727905273438,,,,,
1,1249,,197.60055541992188,,,,,
1,1299,,240.44888305664062,,,,,
1,1307,,,482.517578125,0.01702013425529003,482.517578125,0.01687651313841343,191.56190490722656
1,1307,240.8659210205078,,,,,,
2,1349,,175.9893035888672,,,,,
2,1399,,380.2812194824219,,,,,
2,1449,,243.58853149414062,,,,,
2,1499,,228.55551147460938,,,,,
2,1549,,212.24588012695312,,,,,
2,1599,,272.6921081542969,,,,,
2,1649,,187.63876342773438,,,,,
2,1699,,212.32281494140625,,,,,
2,1749,,204.31069946289062,,,,,
2,1799,,345.3264465332031,,,,,
2,1849,,177.975341796875,,,,,
2,1899,,206.9837188720703,,,,,
2,1949,,235.9029541015625,,,,,
2,1961,,,555.79296875,0.019604820758104324,555.79296875,0.019798899069428444,243.40469360351562
2,1961,225.83447265625,,,,,,
3,1999,,201.14361572265625,,,,,
3,2049,,174.00634765625,,,,,
3,2099,,203.1201171875,,,,,
3,2149,,244.17098999023438,,,,,
3,2199,,175.1346435546875,,,,,
3,2249,,232.66856384277344,,,,,
3,2299,,199.44760131835938,,,,,
3,2349,,180.78765869140625,,,,,
3,2399,,187.52835083007812,,,,,
3,2449,,214.00759887695312,,,,,
3,2499,,247.40167236328125,,,,,
3,2549,,246.92555236816406,,,,,
3,2599,,219.88165283203125,,,,,
3,2615,,,489.6953125,0.017273318022489548,489.6953125,0.017423802986741066,220.4210968017578
3,2615,220.3885498046875,,,,,,
4,2649,,243.84117126464844,,,,,
4,2699,,239.76837158203125,,,,,
4,2749,,248.01678466796875,,,,,
4,2799,,162.20578002929688,,,,,
4,2849,,205.96827697753906,,,,,
4,2899,,193.45936584472656,,,,,
4,2949,,206.33688354492188,,,,,
4,2999,,225.77227783203125,,,,,
4,3049,,230.1892852783203,,,,,
4,3099,,176.58596801757812,,,,,
4,3149,,205.1956787109375,,,,,
4,3199,,161.58706665039062,,,,,
4,3249,,181.9547882080078,,,,,
4,3269,,,279.9609375,0.009875231422483921,279.9609375,0.009924232959747314,125.83078002929688
4,3269,214.25958251953125,,,,,,
